                                              ,,,,,,,,,,,,
No.,Site Name,Coordinates,Main Category,Theme / Sub-category,Short Note (Simplified),Recommended Image File Name,Image File Page URL (details/licence),Direct Download Link (Commons redirect),Image Source,Photographer / Author,License,Site Information Source URL
1,Fort Cornwallis,"5.4215, 100.3441",Colonial Heritage,British military and trading history,"Fort Cornwallis is one of George Town’s key colonial landmarks. It represents the city’s early British presence and its strategic role in trade, defence, and port administration.",Fort Cornwallis - Penang.jpg,https://commons.wikimedia.org/wiki/File:Fort_Cornwallis_-_Penang.jpg,,Wikimedia Commons,Graystravels,Own work; license details on Commons file page,https://en.wikipedia.org/wiki/Fort_Cornwallis
2,Leong San Tong Khoo Kongsi,"5.4147, 100.3372",Clan / Community Heritage,Chinese migration and lineage identity,"Khoo Kongsi is a major Chinese clan house in George Town. It reflects Hokkien migration, family networks, community organisation, and southern Chinese architectural craftsmanship.",Penang Malaysia Leong-San-Tong-Khoo-Kongsi-02.jpg,https://commons.wikimedia.org/wiki/File:Penang_Malaysia_Leong-San-Tong-Khoo-Kongsi-02.jpg,,Wikimedia Commons,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://en.wikipedia.org/wiki/Khoo_Kongsi
3,Kapitan Keling Mosque,"5.4167, 100.3364",Religious Heritage,South Indian Muslim trading network,"Kapitan Keling Mosque is a historic mosque associated with South Indian Muslim traders. It shows how religion, migration, and commerce shaped George Town’s multicultural urban landscape.","Kapitan Keling Mosque, Georgetown, Penang, Malaysia.JPG","https://commons.wikimedia.org/wiki/File:Kapitan_Keling_Mosque,_Georgetown,_Penang,_Malaysia.JPG",,Wikimedia Commons,User:Shoestring / Wikivoyage,Commons free license; see file page,https://en.wikipedia.org/wiki/Kapitan_Keling_Mosque
4,Cheong Fatt Tze Mansion,"5.4221, 100.3341",Domestic / Elite Residence Heritage,Peranakan-Chinese elite residence,Cheong Fatt Tze Mansion is a restored late nineteenth-century residence known for its indigo-blue façade. It combines Chinese courtyard planning with imported decorative and architectural features.,"Cheong Fatt Tze Mansion, Penang.jpg","https://commons.wikimedia.org/wiki/File:Cheong_Fatt_Tze_Mansion,_Penang.jpg",,Wikimedia Commons,Tony Jones,Dual license; see Commons file page,https://en.wikipedia.org/wiki/Cheong_Fatt_Tze_Mansion
5,Armenian Street,"5.4145, 100.3379",Urban Streetscape,Historic commercial street and living heritage,"Armenian Street is a historic street within George Town’s old town. Its shophouses, cultural sites, and public art make it a visible example of living urban heritage.",Armenian street-penang-095749145.jpg,https://commons.wikimedia.org/wiki/File:Armenian_street-penang-095749145.jpg,,Wikimedia Commons,RaffiKojian,Own work; license details on Commons file page,"https://en.wikipedia.org/wiki/George_Town,_Penang"
6,Pinang Peranakan Mansion,"5.4179, 100.3411",Museum / Cultural Institution,Peranakan culture and elite lifestyle,"Pinang Peranakan Mansion presents the material culture of the Straits Chinese community. The site helps explain Peranakan identity through architecture, furniture, objects, and domestic life.",Penang Peranakan Mansion by C.W. Tan 11.jpg,https://commons.wikimedia.org/wiki/File:Penang_Peranakan_Mansion_by_C.W._Tan_11.jpg,,Wikimedia Commons,C.W. Tan,CC BY-SA 4.0,https://en.wikipedia.org/wiki/Pinang_Peranakan_Mansion
7,St. George’s Church,"5.4212, 100.3391",Religious Heritage,British Anglican colonial history,St. George’s Church is one of the oldest Anglican churches in Southeast Asia. Its neoclassical form reflects British colonial religious and civic influence in George Town.,"St George's Church, Georgetown, Penang.jpg","https://commons.wikimedia.org/wiki/File:St_George's_Church,_Georgetown,_Penang.jpg",,Wikimedia Commons,Commons contributor; see file page,CC BY-SA 3.0,"https://en.wikipedia.org/wiki/St._George%27s_Church,_George_Town"
8,Goddess of Mercy Temple,"5.4181, 100.3382",Religious Heritage,Chinese popular religion and community life,"The Goddess of Mercy Temple is one of George Town’s oldest Chinese temples. It remains an important place for worship, community gathering, and everyday religious practice.",Goddess Of Mercy Temple 1.jpg,https://commons.wikimedia.org/wiki/File:Goddess_Of_Mercy_Temple_1.jpg,,Wikimedia Commons,Christophe95,Own work; license details on Commons file page,https://en.wikipedia.org/wiki/Kong_Hock_Keong_Temple
9,Sri Mahamariamman Temple,"5.4152, 100.3361",Religious Heritage,South Indian Hindu diaspora,Sri Mahamariamman Temple is a historic Hindu temple in Little India. Its colourful gateway and ritual role reflect the cultural presence of the Tamil community in George Town.,Sri Mahamariamman Temple in Georgetown.jpg,https://commons.wikimedia.org/wiki/File:Sri_Mahamariamman_Temple_in_Georgetown.jpg,,Wikimedia Commons,Christophe95,Own work; license details on Commons file page,"https://en.wikipedia.org/wiki/Sri_Mahamariamman_Temple,_Penang"
10,Acheen Street Mosque,"5.4138, 100.3369",Religious Heritage,Achehnese-Malay Muslim heritage,Acheen Street Mosque was founded in the late eighteenth century. It reflects Islamic trading networks and the role of George Town as a regional hub for Muslim communities.,Penang Malaysia Lebuh-Aceh-Mosque-01.jpg,https://commons.wikimedia.org/wiki/File:Penang_Malaysia_Lebuh-Aceh-Mosque-01.jpg,,Wikimedia Commons,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://en.wikipedia.org/wiki/Acheen_Street_Mosque
